Prof_Course		The instructor provided clearly defined expectations.	The instructor used teaching methods that helped me learn.	"The instructor helped me take a role in my own learning, by encouraging questions or other forms of participation as appropriate to the course."	The instructor was well prepared to teach each of the course's units / modules.	The instructor was available for consultation either in person or online.	The instructor is one whom I would recommend to other students.
"Segvic,Ivana:JOUR-1345-007-WRITING FOR MASS MEDIA"	Mean	4.75	4.75	4.75	5	4.6667	4.5
	N	4	4	4	4	3	4
"Segvic,Ivana:JOUR-1345-009-WRITING FOR MASS MEDIA"	Mean	4.4	3.8	4.2	4.4	4.6	3.4
	N	5	5	5	5	5	5
"Segvic,Ivana:JOUR-2346-003-REPORTING"	Mean	4.4	4.2	3.9	4.7	4.1111	4.2
	N	10	10	10	10	9	10
"Semingson,Peggy:LIST-4373-003-EC-6 LIT LRNG: RDG & WRTG"	Mean	4.8	4.65	4.8	4.9	4.9	4.6842
	N	20	20	20	20	20	19
"Semingson,Peggy:LIST-5373-005-FNDNS OF LITERACY LRNG IN EC-6"	Mean	4.9565	4.8696	4.913	4.9565	4.913	4.913
	N	23	23	23	23	23	23
"Semingson,Peggy:LIST-5384-001-ADVANCED PEDAGOGY OF WRITING"	Mean	4.5	4.5	4.5	4.75	5	4.75
	N	4	4	4	4	4	4
"Seo,Dong-Jun:CE-3309-001-INTRODUCTION TO HYDROLOGY"	Mean	3.1333	2.9333	4.1429	4.3333	4	2.8667
	N	15	15	14	15	15	15
"Seo,Dong-Jun:CE-5357-001-HYDROLOGIC TECHNIQUES"	Mean	4.5	4	4	4.5	4.5	4
	N	2	2	2	2	2	2
"Shaffer,Bethany:ENGL-2303-001-TOPICS IN LIT"	Mean	4.6364	4.3636	4.4545	4.7273	4.4545	4.3636
	N	11	11	11	11	11	11
"Shaffer,Bethany:ENGL-2329-021-AMERICAN LITERATURE"	Mean	4.5556	4.5556	4.5556	4.6667	4.6667	4.5556
	N	9	9	9	9	9	9
"Shahsavarani,Sepideh:PHYS-1442-006-GENERAL COLLEGE PHYSICS II"	Mean	3.2308	2.5714	2.9286	2.9167	3.2727	2.2857
	N	13	14	14	12	11	14
"Shahsavarani,Sepideh:PHYS-1442-010-GENERAL COLLEGE PHYSICS II"	Mean	4.3333	4.1667	4.5	4.5	4.5	4.6667
	N	6	6	6	6	6	6
"Shaney,Kyle:BIOL-1442-016-STRUC & FUNC OF ORGANISMS"	Mean	4.25	4.25	4.5	4.75	4	4.75
	N	4	4	4	4	4	4
"Shaney,Kyle:BIOL-1442-018-STRUC & FUNC OF ORGANISMS"	Mean	4.8	4.4	4.4	4.4	5	4.8
	N	5	5	5	5	3	5
"Sharma Poudyal,Basanti:HONR-SC-2425-101-HONORS CALCULUS II"	Mean	4.4286	4.4286	4.4286	5	4.7143	4.7143
	N	7	7	7	7	7	7
"Sharma Poudyal,Basanti:MATH-1302-102-COLLEGE ALGEBRA"	Mean	3.4444	3.2222	3.3333	3.6667	3.6667	3.125
	N	9	9	9	9	9	8
"Sharma,Bonita:SOCW-3303-001-SW POL & SERV"	Mean	2.7778	2.5556	3.2222	3.375	3.8571	2.8889
	N	9	9	9	8	7	9
"Sharma,Suresh:PHYS-3445-001-OPTICS"	Mean	4.625	4.75	4.75	4.625	4.75	4.75
	N	8	8	8	8	8	8
"Sharma,Suresh:PHYS-3445-002-OPTICS"	Mean	5	5	5	5	5	5
	N	2	2	2	2	2	2
"Sharma,Suresh:PHYS-3445-003-OPTICS"	Mean	4.4	4.8	5	4.8	5	5
	N	5	5	5	5	5	5
"Shastry,Karthik:PHYS-1442-007-GENERAL COLLEGE PHYSICS II"	Mean	4.5	4.6	4.7	4.6	4.5556	4.7
	N	10	10	10	10	9	10
"Shave,Angelika:SPAN-1442-006-BEGINNING SPANISH II"	Mean	5	4.6667	5	4.3333	5	3.6667
	N	3	3	3	3	2	3
"Shave,Angelika:SPAN-1442-007-BEGINNING SPANISH II"	Mean	5	5	5	5	5	5
	N	3	3	3	3	3	3
"Shawkat Hossain,Mohammad:CHEM-2182-007 / 008-ORGANIC CHEMISTRY II LAB"	Mean	4.5	4.5	4.5	4.5	4.6	4.5
	N	6	6	6	6	5	6
"Shawkat Hossain,Mohammad:CHEM-2182-009-ORGANIC CHEMISTRY II LAB"	Mean	4.5	4.5	4.5	4.75	5	4.75
	N	4	4	4	4	3	4
"Shelton,Beth:SOCI-3331-001 & WOMS-3331-001-SOCIOLOGY OF THE FAMILY (2132-1-0015)"	Mean	4.5714	4.5714	4.5714	4.619	4.4286	4.619
	N	21	21	21	21	21	21
"Shelton,Beth:SOCI-5330-001-SEM IN SOCIAL DIFFERENTIATION"	Mean	3.75	4	4.75	4.5	5	4
	N	4	4	4	4	3	4
"Shelton,Jason:MAS-3337-001 & SOCI-3337-001-RACIAL & ETHNIC GROUPS IN US"	Mean	5	5	4.9375	4.9375	4.9375	5
	N	16	16	16	16	16	16
"Shelton,Jason:SOCI-1311-005-INTRO TO SOCIO"	Mean	4.6098	4.3902	4.5366	4.8049	4.4054	4.525
	N	41	41	41	41	37	40
"Shi,Ruoying:CHIN-1442-003-BEGINNING CHINESE II"	Mean	4	4.4	4.6	4.8	4.2	4.4
	N	5	5	5	5	5	5
"Shiakolas,Panayiotis:MAE-3183-001-MEASUREMENTS LABORATORY II"	Mean	4.8	4.8	5	5	4.4	4.8
	N	5	5	5	5	5	5
"Shiakolas,Panayiotis:MAE-3183-002-MEASUREMENTS LABORATORY II"	Mean	4.75	4.25	4.75	4.5	4.5	4.5
	N	4	4	4	4	4	4
"Shiakolas,Panayiotis:MAE-3183-003-MEASUREMENTS LABORATORY II"	Mean	2	4	5	3	4	3
	N	1	1	1	1	1	1
"Shiakolas,Panayiotis:MAE-3183-004-MEASUREMENTS LABORATORY II"	Mean	5	4	5	5	5	4
	N	1	1	1	1	1	1
"Shiakolas,Panayiotis:ME-5303-001-CNTRL SYS ANALYSIS & SYNTHESIS"	Mean	4.3	4.4	4.4	4.6	4.4444	4.3
	N	10	10	10	10	9	10
"Shiakolas,Panayiotis:ME-5303-002-CNTRL SYS ANALYSIS & SYNTHESIS"	Mean	4.3333	3.6667	4.3333	4.6667	4.3333	4.3333
	N	3	3	3	3	3	3
"Shin,Donghyun:MAE-3309-001-THERMAL ENGINEERING"	Mean	4.6429	4.2857	4.4286	4.5	4.6364	4.3571
	N	14	14	14	14	11	14
"Shipman,Barbara:MATH-3300-001-INTRODUCTION TO PROOFS"	Mean	4.2222	4.4444	4.6667	4.5556	4.6667	4.3333
	N	9	9	9	9	9	9
"Shipman,Barbara:MATH-3330-001-INTRO MATRICES/ LINEAR ALGEBRA"	Mean	4.6842	4.6316	4.4737	4.6316	4.2778	4.4444
	N	19	19	19	19	18	18
"Shishakly,Reem:ARAB-2313-001-INTERMEDIATE ARABIC I"	Mean	4.1111	4	4.2222	4.4444	4.2222	4.2222
	N	9	9	9	9	9	9
"Shishakly,Reem:ARAB-2314-001-INTERMEDIATE ARABIC II"	Mean	3.7143	3.5714	4.1429	4.1429	4	4
	N	7	7	7	7	7	7
"Shishakly,Reem:ARAB-3304-001-ARABIC CONVERS & CULT II"	Mean	5	5	5	4.6667	5	5
	N	6	6	6	6	6	6
"Shoults,Raymond:EE-5371-001-PWR SYS PLAN OP & CNTRL ENV"	Mean	4.2857	4	4.7143	4.4286	4.8571	4
	N	7	7	7	7	7	7
"Shows,Gregory:ENGL-1302-028-RHETORIC AND COMPOSITION II"	Mean	4.2	4.2	4.75	4.2	4.25	4.4
	N	5	5	4	5	4	5
"Shows,Gregory:ENGL-1302-029-RHETORIC AND COMPOSITION II"	Mean	4.1667	4	3.8333	4.3333	4.1667	4.1667
	N	6	6	6	6	6	6
"Shukayr,Ashley:PHYS-1441-005-GENERAL COLLEGE PHYSICS I"	Mean	4.5	4.5	5	5	5	5
	N	2	2	2	2	2	2
"Shukayr,Ashley:PHYS-1443-010-GENERAL TECHNICAL PHYSICS I"	Mean	4.8	4.7	4.8	4.8	4.7	4.8
	N	10	10	10	10	10	10
"Sikora,Riyaz:INSY-3305-001 & INSY-5341-001-INFO SYS ANALYSIS & DESIGN (2132-1-0257)"	Mean	4.6429	4.3846	4.3571	4.4286	4.5	4.0714
	N	14	13	14	14	12	14
"Sikora,Riyaz:INSY-4305-001-ADV APPLICATION DEVELOPMENT & INSY-5352-001-TOPICS IN OBJECT TECHNOLOGY"	Mean	4.5882	4.5882	4.4706	4.7059	4.0667	4.5882
	N	17	17	17	17	15	17
"Skantz,Terrance:ACCT-3312-003-FINANCIAL ACCOUNTING II"	Mean	4.125	3.5	4.375	4.625	3.1667	3.625
	N	8	8	8	8	6	8
"Skantz,Terrance:ACCT-5319-001-FINANCIAL ACCOUNTING III"	Mean	5	4.5	4	4.5	4.5	4
	N	2	2	2	2	2	2
"Skiles-duToit,Sara:SOCI-3328-001 & WOMS-3328-001-MARITAL & SEXUAL LIFESTYLES (2132-1-0013)"	Mean	4.037	3.2963	3.6538	3.7917	3.6087	3.4615
	N	27	27	26	24	23	26
"Skiles-duToit,Sara:SOCI-3328-002 & WOMS-3328-002-MARITAL & SEXUAL LIFESTYLES (2132-1-0014)"	Mean	4.48	3.36	3.75	4.0476	4	3.5
	N	25	25	24	21	22	24
"Slade,Benjamin:LING-3311-001-INTRO TO LINGUISTIC SCIENCE"	Mean	4.2857	4.2143	4.3571	4.7857	4.4286	4.5
	N	14	14	14	14	14	14
"Slade,Benjamin:LING-4345-001 & LING-5345-001-SEMANTICS"	Mean	4.5	3.8333	4.3333	5	4.6667	4.5
	N	6	6	6	6	6	6
"Slade,Benjamin:LING-5300-001-LINGUISTIC ANALYSIS"	Mean	4.6667	4.6667	4.3333	4.6667	4.3333	4.3333
	N	3	3	3	3	3	3
"Sledge,Daniel:POLS-2312-008-STATE & LOCAL GOVT"	Mean	4.2708	4.125	4.2292	4.2917	4.1522	4.3958
	N	48	48	48	48	46	48
"Sledge,Daniel:POLS-4350-001-HEALTH POLITICS AND POLICY & HONR-LA-4303-008-ADVANCED SPECIAL TOPICS"	Mean	4.5	4.5556	4.6	4.6	5	4.3333
	N	10	9	10	10	9	9
"Slinkman,Craig:BSTAT-3321-004-BUSINESS STATISTICS I"	Mean	2.9333	2.7333	3	2.4	4	2.6
	N	15	15	15	15	14	15
"Slinkman,Craig:BSTAT-3322-002-BUSINESS STATISTICS II"	Mean	3.8333	4.1667	4.1667	4.3333	5	3.8333
	N	6	6	6	6	5	6
"Slinkman,Craig:BSTAT-5301-001-INTRODUCTION TO STATISTICS"	Mean	4.5	3.5	3.5	3.5	2.5	3.5
	N	2	2	2	2	2	2
"Slinkman,Craig:BSTAT-5315-050-HCAD STATISTICAL METHODS"	Mean	3.7143	3.2857	3.5714	3.2857	4	3
	N	7	7	7	7	6	7
"Sloan,Kevin:ARCH-2552-007-BASIC DESIGN AND DRAWING II"	Mean	3.5	1.5	4	1	2	2.5
	N	2	2	2	2	2	2
"Sloan,Kevin:ARCH-3337-001-SITE DESIGN"	Mean	3.7333	3.7333	4	3.7333	2.8571	3.8
	N	15	15	15	15	14	15
"Sloan,Kevin:ARCH-4341-001 & ARCH-5341-001-NOTATIONAL DRAWING (2132-ISW-0005)"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Small,Eusebius:SOCW-5303-001-FOUND OF SCIAL PLCY & SERVICES"	Mean	4	3.96	4.32	4.6	4.08	4.04
	N	25	25	25	25	25	25
"Small,Eusebius:SOCW-5303-002-FOUND OF SCIAL PLCY & SERVICES"	Mean	4.25	4.3333	4.5833	4.7391	4.5417	4.4583
	N	24	24	24	23	24	24
"Smallwood,Aaron:ECON-3312-002-MACROECONOMICS"	Mean	4.3	4.2	4	4.6	4.1111	4.1
	N	10	10	10	10	9	10
"Smallwood,Aaron:ECON-4322-001-INTERNATIONAL FINANCE"	Mean	4.4118	4.1176	4.1765	4.4706	4.0667	4.1176
	N	17	17	17	17	15	17
"Smant,Kevin:HIST-1311-007-HISTORY OF U.S."	Mean	4.4211	4.1053	3.6842	4.4737	4.4375	4.1579
	N	19	19	19	19	16	19
"Smant,Kevin:HIST-1311-008-HISTORY OF U.S."	Mean	4.5714	4.4286	4.3571	4.7143	4.4545	4.2857
	N	14	14	14	14	11	14
"Smant,Kevin:HIST-1312-001-HISTORY OF U.S."	Mean	5	5	5	5	4.5	5
	N	2	2	2	2	2	2
"Smant,Kevin:HIST-1312-006-HISTORY OF U.S."	Mean	4.3	4	4.1	4.3	4.3333	4.2
	N	10	10	10	10	9	10
"Smart,Utpal:BIOL-2457-005-HUMAN ANATOMY & PHYSIOLOGY I (2132-20625)"	Mean	3.8	3.6	3.8	3.8	4	3.6
	N	5	5	5	5	5	5
"Smart,Utpal:BIOL-2457-009-HUMAN ANATOMY & PHYSIOLOGY I (2132-20629)"	Mean	4	4	3.8	4.2	4	4.2
	N	5	5	5	5	5	5
"Smith-Osborne,Alexa:SOCW-3302-004-HUM BEHAV II"	Mean	4.4444	4.4444	4.3333	4.4444	4.5556	4.1111
	N	9	9	9	9	9	9
"Smith-Osborne,Alexa:SOCW-3302-006-HUM BEHAV II"	Mean	4.5	4.25	4	4.25	4.5	4.5
	N	4	4	4	4	4	4
"Smith,David:MATH-3301-001-FOUNDATIONS OF GEOMETRY"	Mean	4	3.8	4.6	4	4.1111	4.1
	N	10	10	10	10	9	10
"Smith,David:MATH-3307-001-ELEMENTARY NUMBER THEORY"	Mean	4.25	4.1667	4.2174	4.375	4.1364	4.1667
	N	24	24	23	24	22	24
"Smith,Dwain:ART-4362-001-ADVANCED FILM/VIDEO"	Mean	4.6667	4.5	4.5	4.6667	4.6667	4.8333
	N	6	6	6	6	6	6
"Smith,Dwain:ART-5683-001-RES FILM/VIDEO & SCREENWRITING"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Smith,Harold:EDAD-5383-011-PRINCIPALSHIP"	Mean	4.6111	4.5	4.3889	4.2778	4.2941	4.3529
	N	18	18	18	18	17	17
"Smith,Harold:EDAD-5384-001-RESOUR MGMT ED"	Mean	4	4	4	4	4	4
	N	4	4	4	4	4	4
"Smith,Harold:EDAD-5384-011-RESOUR MGMT ED"	Mean	4.0313	3.8438	4.0938	4.0645	4.2143	3.9355
	N	32	32	32	31	28	31
"Smith,Jason:MATH-1301-002-TOPICS CONTEMPORARY MATH"	Mean	3.9	4	3.7	3.7	4.1111	3.8
	N	10	10	10	10	9	10
"Smith,Jason:MATH-1308-002-ELEM STATISTICAL ANALYSIS"	Mean	4.125	4.1875	4.1875	4.5625	4.3125	4.4286
	N	16	16	16	16	16	14
"Smith,Jason:MATH-1308-003-ELEM STATISTICAL ANALYSIS"	Mean	4.3793	4.1034	4.2759	4.5517	4.3704	4.2069
	N	29	29	29	29	27	29
"Smith,Johanna:ENGL-4399-003-SENIOR SEMINAR & HONR-LA-4303-003-ADVANCED SPECIAL TOPICS"	Mean	3.6	3.6	4.8	4.6	5	3.8
	N	5	5	5	5	5	5
"Smith,Kristy:CRCJ-3300-001-THEORETICAL CR (2132-22620)"	Mean	4.375	4.375	4.25	4.4375	4.5	4.125
	N	16	16	16	16	16	16
"Smith,Kristy:CRCJ-3310-002-PROF WRITING FOR CRCJ MAJORS"	Mean	4	3.9048	4.1818	4.0909	4.4545	4.0909
	N	22	21	22	22	22	22
"Smith,Kristy:CRCJ-4301-002-JUDICIAL SYS"	Mean	4.4138	4.1786	4.2414	4.3929	4.4643	4.3793
	N	29	28	29	28	28	29
"Smith,Latoya:SOCW-3301-003-HUM BEHAV I"	Mean	4.3333	4	4.6667	4	4.6667	4
	N	6	6	6	6	6	6
"Smith,Marcella:SOCW-5317-003/004-HUMAN BEHAVIOR AND DIVERSE POPULATIONS"	Mean	4.5625	4.1875	4.375	4.3333	4.25	4.3125
	N	16	16	16	15	16	16
"Smith,Marcella:SOCW-6320-001/002-PERSONAL RELATIONSHIPS"	Mean	4.7143	4.2857	4.5714	4.4286	4.6667	4.2857
	N	7	7	7	7	6	7
"Smith,Samuel:CHIN/GERM/KORE/PORT/RUSS-3311-001 & FREN-3321-001-LOCALIZATION & TRANSLATION II and GERM/RUSS-4335-001-BUSINESS"	Mean	4.9	4.8	4.7	4.9	4.9	4.9
	N	10	10	10	10	10	10
"Smith,Shelley:ANTH-3313-001-PRIMATE EVOL & BEHAVIOR and HONR-LA-3304-003-SPECIAL TOPICS"	Mean	4	4	4.6667	4.8333	4.6667	3.8333
	N	6	6	6	6	6	6
"Sneed,Audra:UNIV-1131-002-ISSUES IN COLLEGE ADJUSTMENT"	Mean	5	4.75	4.75	5	5	5
	N	4	4	4	4	4	4
"Snow,Diane:NURS-5303-001-PSYCHIATRIC MANAGEMENT"	Mean	4.0556	4.0556	4.2353	4.3889	4.1111	4.1667
	N	18	18	17	18	18	18
"Snow,Diane:NURS-5425-001-PSYCHIATRIC NURSING II"	Mean	4	4	4.6	4	4.8	4.6
	N	5	5	5	5	5	5
"Sol,Antoinette:FREN-5325-001-GENRES OF THE 18TH CENTURY"	Mean	4.4	4.4	4.4	4.6	4.4	4.4
	N	5	5	5	5	5	5
"Solomons,John:MUSI-0109-001-KEYBOARD ENSEMBLE (2132-21796)"	Mean	5	5	5	5	4.6667	5
	N	3	3	3	3	3	3
"Solomons,John:MUSI-0109-002-KEYBOARD ENSEMBLE (2132-21797)"	Mean	5	5	5	5	5	5
	N	3	3	3	3	3	3
"Solomons,John:MUSI-5106-001-KEYBOARD ENSEMBLE (2132-21869)"	Mean	5	5	5	5	5	5
	N	2	2	2	2	2	2
"Solomons,John:MUSIC PRIVATE LESSONS (2132-00006)"	Mean	5	5	5	5	5	5
	N	11	11	11	11	11	11
"Soueid,Alicia:FREN-2314-003-INTERMEDIATE FRENCH II"	Mean	4.2857	4.2857	4.4286	4.2857	4	4.4286
	N	7	7	7	7	7	7
"Soueid,Alicia:FREN-3305-001-FRENCH CULTURE & CIVILIZATION"	Mean	4.5714	4.4286	4.4286	4.4286	4.7143	4.8571
	N	7	7	7	7	7	7
"Spann,Catherine:PSYC-5407-002-EXPERIMENTAL DESIGN (2132-23062)"	Mean	4.2667	4	4.2	4.3333	4.2667	4.1333
	N	15	14	15	15	15	15
"Spates,Doretta:NURS-3425-503-RN-BSN HOL HLTH ASSESS LIFESPA"	Mean	3.7692	3.9231	3.5385	4.0769	3.6667	3.9167
	N	13	13	13	13	9	12
"Speer,Kathleen:NURS-5301-400-RESEARCH IN NURSING"	Mean	4.1667	4.3333	4.0833	4.1818	4.0833	4
	N	12	12	12	11	12	10
"Speer,Kathleen:NURS-5301-401-RESEARCH IN NURSING"	Mean	4	3.875	3.6875	4.375	3.5	3.5625
	N	16	16	16	16	14	16
"Speer,Kathleen:NURS-5301-402-RESEARCH IN NURSING"	Mean	4.2857	4.2143	4.0714	4.2143	3.7143	3.8571
	N	14	14	14	14	14	14
"Speier,Amy:ANTH-2322-001-GLOBAL CULTURE"	Mean	3.68	3.88	4.16	4.4	4.44	3.88
	N	25	25	25	25	25	25
"Speier,Amy:ANTH-4342-003-TOPIC CULTURAL"	Mean	4.05	4	4.6	4.4	4.7895	4.0556
	N	20	20	20	20	19	18
"Spivey,Christy:ECON-3318-001-INTRODUCTION TO ECONOMETRICS"	Mean	4.7222	4.3333	4.3611	4.6111	4.6389	4.5278
	N	36	36	36	36	36	36
"Spivey,Christy:ECON-4330-001 & ECON-5330-001-HUMAN RESOURCE ECONOMICS"	Mean	4.6471	4.6471	4.6875	4.5625	4.625	4.625
	N	17	17	16	16	16	16
"Spurlock,Barry:PHYS-1442-001-GENERAL COLLEGE PHYSICS II"	Mean	4.3929	4.0357	4.0714	4.3929	4.3929	4.3571
	N	28	28	28	28	28	28
"Spurlock,Barry:PHYS-1442-004-GENERAL COLLEGE PHYSICS II"	Mean	4.2273	3.8182	4	4.4091	4.2	4.1364
	N	22	22	22	22	20	22
"Spurlock,Barry:PHYS-1444-004-GENERAL TECHNICAL PHYSICS II"	Mean	4.4872	3.9744	4.1026	4.6154	4.3077	4.4615
	N	39	39	39	39	39	39
"Srinidhi,Bin:ACCT-5301-001-ACCOUNTING ANALYSIS I"	Mean	3.1333	2.0667	2.8667	3.3333	3.6667	1.9286
	N	15	15	15	15	12	14
"Srinidhi,Bin:ACCT-5324-001-FINANCIAL STATEMENT ANALYSIS"	Mean	2.6667	2.3333	3.3333	3.6667	4.5	2.3333
	N	3	3	3	3	2	3
"Standlee,Larry:EVSE-5311-001-ENVIRONMENTAL SYSTEMS-GEOLOGICAL ASPECTS & GEOL-3340-001-GEOLOGY FOR ENGINEERS"	Mean	4.2	3.6	2.8	4	3.25	3.8
	N	5	5	5	5	4	5
"Standlee,Larry:GEOL-5372-001-STRUCTURE OF PETROLEUM FIELDS"	Mean	4.5	4.5	4.5	4.5	4.25	4.5
	N	4	4	4	4	4	4
"Standlee,Larry:GEOL-5372-011-STRUCTURE OF PETROLEUM FIELDS"	Mean	4.3333	4.3333	4.3333	4.3333	4	4.3333
	N	3	3	3	3	2	3
"Starr,Alison:ART-1306-003-THREE-DIMENSIONAL DESIGN"	Mean	4.8333	4.8333	5	4.6667	5	5
	N	6	6	6	6	6	6
"Stavridis,Andreas:CE-5385-001-STRUCTURAL DYNAMICS"	Mean	3.8571	4	4.5714	4.5714	4.8571	4.3333
	N	7	7	7	7	7	6
"Stavridis,Andreas:CE-5385-002-STRUCTURAL DYNAMICS"	Mean	4	3.8	4.4	4.2	4.8	4.2
	N	5	5	5	5	5	5
"Steele,Nathan:MATH-1322-001-PRECALCULUS I"	Mean	4.1667	4	4.25	4.4167	4.25	4
	N	12	12	12	12	12	11
"Steele,Nathan:MATH-1322-002-PRECALCULUS I"	Mean	4.4444	4.1111	4.1111	4.5556	4.2222	4.3333
	N	9	9	9	9	9	9
"Steen,Charles:ECON-3305-001-LAWS AND ECONOMICS"	Mean	3.75	3.25	3.5625	3.9375	3.8125	3.5625
	N	16	16	16	16	16	16
"Stefan,Alexandra:CSE-1310-001-INTRO COMPUTERS & PROGRAMMING"	Mean	4.3333	3.5	3.3333	4	4.3333	4
	N	6	6	6	6	6	6
"Stefan,Alexandra:CSE-1310-004-INTRO COMPUTERS & PROGRAMMING"	Mean	3.375	3.125	3.375	3.375	4.125	3.25
	N	8	8	8	8	8	8
"Steffenson,Matthew:BIOL-2458-002-HUMAN ANATOMY & PHYSIOLOGY II"	Mean	4.4	4.4	4.2	4.7	4.1	3.9
	N	10	10	10	10	10	10
"Steffenson,Matthew:BIOL-2458-006-HUMAN ANATOMY & PHYSIOLOGY II"	Mean	5	4.75	5	5	5	4.75
	N	4	4	4	4	4	4
"Stein,Johnny:ENGL-1302-048-RHETORIC AND COMPOSITION II"	Mean	5	5	4.8	5	4.75	4.6
	N	5	5	5	5	4	5
"Stein,Johnny:ENGL-2303-005-TOPICS IN LIT"	Mean	4.8571	4.9286	4.9286	5	4.25	4.9286
	N	14	14	14	14	12	14
"Stephens,Kathleen:UNIV-1131-007-ISSUES IN COLLEGE ADJUSTMENT"	Mean	3	3	3	3	3	3
	N	2	2	2	2	2	2
"Stephens,Noni:NURS-3365-072-PHARMACOLOGY IN NURSING PRACTI"	Mean	4.5556	4.3333	4.4444	4.4444	4.2941	4.1667
	N	18	18	18	18	17	18
"Stewart,Christopher:FREN-5320-001-TOPS: LANGUAGE & LINGUISTICS"	Mean	4.6667	4.3333	4.3333	4.6667	4.6667	4
	N	3	3	3	3	3	3
"Stewart,James:CTEC-2300-001-INTERNET COMMUNICATION"	Mean	4.2857	4	4	4.1429	4.4286	4
	N	7	7	7	7	7	7
"Stodnick,Jacqueline:ENGL-4301-001-HIST ENGL LANG & HONR-LA-4303-005-ADVANCED SPECIAL TOPICS"	Mean	4.5333	4.3333	4.6667	4.8	4.7333	4.6
	N	15	15	15	15	15	15
"Stodnick,Jacqueline:ENGL-5331-001-TPCS LANG OR DISCOURSE STUDIES"	Mean	4	4.3	4.7	4.2	4.7	4.7
	N	10	10	10	10	10	10
"Stone,Lori:SOCW-6311-001-DIRECT METHODS COUPLES COUNSEL"	Mean	5	4.7	4.6	4.8	4.3333	4.9
	N	10	10	10	10	9	10
"Story,Dale:POLS-2311-002-GOVT OF U S"	Mean	4.2222	3.4444	4.4444	4.4444	4.4444	3.8889
	N	9	9	9	9	9	9
"Story,Dale:POLS-3310-001-RESEARCH & POLITICAL ANALYSIS & POLS-5310-001-EMPIRICAL THEORY & RESEARCH (2132-1-0331)"	Mean	3.6	3.0667	3.6	3.6667	3.8571	2.8571
	N	15	15	15	15	14	14
"Story,Dale:POLS-5335-001-LATIN AMERICAN POLITICS"	Mean	4.2	4.3	4.2	4.3	4.5	4.4
	N	10	10	10	10	10	10
"Stotter,Douglas:MUSI-0102-001-WIND SYMPHONY (2132-21792)"	Mean	4.6667	4	4.3333	4.6667	4.6667	4
	N	3	3	3	3	3	3
"Stotter,Douglas:MUSI-4308-001-INSTRUMENTAL CONDUCTING II"	Mean	4.75	4.5	4.75	4.875	4.75	4.5
	N	8	8	8	8	8	8
"Stotter,Douglas:MUSI-5100-001-WIND SYMPHONY (2132-21864)"	Mean	5	4	5	5	5	4
	N	1	1	1	1	1	1
"Stradling,Alden:PHYS-1443-003-GENERAL TECHNICAL PHYSICS I"	Mean	3.0952	2.7619	3.8571	3.2381	4.4286	2.619
	N	21	21	21	21	21	21
"Stratton,Jedidiah:KINE-3300-002-FUNCTIONAL ANATOMY"	Mean	4.3478	4.1304	4.1739	4.4348	3.8182	4
	N	23	23	23	23	22	23
"Stratton,Jedidiah:KINE-3330-002-PATHOLOGY AND PHARMACOLOGY"	Mean	4.6667	4.7778	4.7778	4.5556	4.4444	4.7778
	N	9	9	9	9	9	9
"Stricklin,Brittany:BIOL-1442-006-STRUC & FUNC OF ORGANISMS"	Mean	3.375	2.625	2.625	3.875	3.375	2.25
	N	8	8	8	8	8	8
"Stricklin,Brittany:BIOL-1442-012-STRUC & FUNC OF ORGANISMS"	Mean	3	2.4286	2.4286	3.4286	3.1429	2
	N	7	7	7	7	7	7
"Stringer,Jarrod:ENGL-1302-050-RHETORIC AND COMPOSITION II"	Mean	4.0556	4.0556	4.4444	4.5556	4.5882	4.0588
	N	18	18	18	18	17	17
"Stringer,Jarrod:ENGL-1302-073-RHETORIC AND COMPOSITION II"	Mean	4.1333	4	4.0667	4.5333	4.4667	3.6667
	N	15	15	15	15	15	15
"Strom,Edwin:CHEM-2321-001-ORGANIC CHEMISTRY"	Mean	3.6522	2.913	3.7727	4.0455	4.2727	3.0455
	N	23	23	22	22	22	22
"Stvan,Laurel:LING-4330-001 & LING-5381-001-CORPUS LINGUISTICS & HONR-LA-4303-009-ADVANCED SPECIAL TOPICS"	Mean	4.5	4.125	4.6875	4.6875	4.625	4.5625
	N	16	16	16	16	16	16
"Su,Chunke:COMM-3300-001-COMMUNICATION TECHNOLOGY"	Mean	4.6098	4.3659	4.3902	4.7561	4.55	4.5122
	N	41	41	41	41	40	41
"Su,Chunke:CTEC-2350-001-INTRO COMMUNICATION TECHNOLOGY"	Mean	5	4.8333	4.6667	5	4.6667	4.8333
	N	6	6	6	6	6	6
"Subedi,Bishnu:CHEM-1441-107-GENERAL CHEMISTRY I"	Mean	4	3.8	3.6	4.2	3.75	3.8
	N	5	5	5	5	4	5
"Subedi,Bishnu:CHEM-1441-113-GENERAL CHEMISTRY I"	Mean	4.3333	4.5	4.6	4.5	4.5	4.5
	N	6	6	5	6	6	6
"Subramaniam,Chandra:ACCT-5311-001-FINANCIAL ACCOUNTING I"	Mean	4.4444	4.3333	4.4444	4.7778	4.7143	4.7778
	N	9	9	9	9	7	9
"Sullivan,Timothy:HIST-4388-002-SEL TOP HIST"	Mean	4.1667	4	4.5	4.3333	4.5	4.8333
	N	6	6	6	6	6	6
